player,team,position,date,round,home_away,opponent,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,xg,npxg,xag,sca,gca,passes_completed,carries,progressive_carries,goals_conceded,clean_sheet,own_goals,ball_recoveries,penalties_won,fouls,fouled,saves,penalties_saved,season,fantasy_position,fantasy_points,matchday
Mislav Oršić,Dinamo Zagreb hr,FW,2022-09-06,Group stage,home,eng Chelsea,76,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,6,1
Dario Špikić,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,MID,1,1
Bruno Petković,Dinamo Zagreb hr,FW,2022-09-06,Group stage,home,eng Chelsea,89,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,5,1
Josip Drmić,Dinamo Zagreb hr,FW,2022-09-06,Group stage,home,eng Chelsea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,FWD,1,1
Robert Ljubicic,Dinamo Zagreb hr,LW,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,2,1
Stefan Ristovski,Dinamo Zagreb hr,RW,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,2,1
Luka Ivanušec,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,1
Arijan Ademi,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,87,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,1
Martin Baturina,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,MID,0,1
Josip Mišić,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,1
Dino Perić,Dinamo Zagreb hr,CB,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,1
Josip Šutalo,Dinamo Zagreb hr,CB,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,1
Sadegh Moharrami,Dinamo Zagreb hr,CB,2022-09-06,Group stage,home,eng Chelsea,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,1
Rasmus Lauritsen,Dinamo Zagreb hr,DF,2022-09-06,Group stage,home,eng Chelsea,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,DEF,1,1
